CCTV4欧洲,${replace}/608807419
NBA 76人VS掘金 全场回放 (邵化谦、贾磊) 09:25,${replace}/962167003
NBA 76人VS掘金 全场回放（英文原声） 09:25,${replace}/962168444
NBA 开拓者VS爵士 全场回放 (庄宁宇、殷文玉、魏欣怡) 10:55,${replace}/962168074
NBA 开拓者VS爵士 【全场回放】 开拓者vs爵士 (庄宁宇、殷文玉、魏欣怡) 10:55,${replace}/962171277
NBA 开拓者VS爵士 【全场回放】 开拓者vs爵士 10:55,${replace}/962170765
NBA 快船VS勇士 全场回放（杨健、曾令旭、闫宇峰、小七） 10:55,${replace}/962169095
NBA 快船VS勇士 全场回放（大史） 10:55,${replace}/962169306
NBA 快船VS勇士 全场回放（拜月宁） 10:55,${replace}/962169279
NBA 快船VS勇士 全场回放（英文原声） 10:55,${replace}/962170779
NBA 快船VS勇士 全场回放（粤语） 10:55,${replace}/962169198
NBA 快船VS勇士 全场回放（闽南语） 10:55,${replace}/962169074
WTT 侯英超、周冠达、周泽昊谈新年首战 【全场回放】 18:00,${replace}/962174000
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】王雨晨4-5肯·达赫迪 18:00,${replace}/962176422
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】哈里斯·塔希尔4-5赵翰洋 18:00,${replace}/962176277
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】利亚姆·普伦5-1若纳斯·卢斯 18:00,${replace}/962176210
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】江俊5-1乌姆特·迪克梅 18:00,${replace}/962176201
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】山姆·克雷吉5-0康纳·本齐 18:00,${replace}/962176188
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】海顿·平尼4-5帕特里克·惠兰 18:00,${replace}/962175960
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】利亚姆·戴维斯5-2莱昂内·克劳利 18:00,${replace}/962175901
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】阿兰·泰勒5-3马特乌斯·巴拉诺夫斯基 18:00,${replace}/962175616
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】杜安·琼斯1-5罗斯·缪尔 18:00,${replace}/962175229
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】本·默滕斯5-1亚历山大·乌尔森巴赫 18:00,${replace}/962175209
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】克里斯·托顿3-5蓝裕豪 18:00,${replace}/962175131
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】米歇尔.曼恩2-5穆罕默德.谢哈布 18:00,${replace}/962174815
斯诺克 巩晨智5-4白雨露 江俊张家玮蓝裕豪晋级 【回放】张家玮5-1吴安仪 18:00,${replace}/962174720
WTA 萨巴2-0轻取 获新赛季开门红 【回放】萨巴伦卡2-0布克沙 09:00,${replace}/962166464
WTA 萨巴2-0轻取 获新赛季开门红 【回放】凯斯勒0-2凯斯 09:00,${replace}/962164610
WTA 萨巴2-0轻取 获新赛季开门红 【回放】萨巴伦卡2-0布克沙（英文原声） 09:00,${replace}/962167074
WTA 萨巴2-0轻取 获新赛季开门红 【回放】凯斯勒0-2凯斯（英文原声） 09:00,${replace}/962167852
WTA 萨巴2-0轻取 获新赛季开门红 【回放】莱巴金娜2-0张帅 09:00,${replace}/962173799
WTA 萨巴2-0轻取 获新赛季开门红 【回放】莱巴金娜2-0张帅（英文原声） 09:00,${replace}/962174538
WTA 莱巴金娜VS张帅 全场回放 09:00,${replace}/962173799
乒乓球经典赛事 力克日乒强敌！蒯曼赛场尽显锋芒 【全场回放】 19:00,${replace}/962055063
WCBA 浙江稠州银行VS陕西榆林天泽 全场回放（现场解说） 19:25,${replace}/962174972
WCBA 浙江稠州银行VS陕西榆林天泽 全场回放（原声） 19:25,${replace}/962174929
WCBA 武汉盛帆黄鹤VS北京首钢园 全场回放（现场解说） 19:25,${replace}/962175557
WCBA 武汉盛帆黄鹤VS北京首钢园 全场回放（原声） 19:25,${replace}/962175306
WCBA 江苏南钢VS石家庄英励 全场回放（原声） 19:25,${replace}/962175709
WCBA 上海浦发银行VS东莞新彤盛 全场回放（现场解说） 19:25,${replace}/962175188
WCBA 上海浦发银行VS东莞新彤盛 全场回放（原声） 19:25,${replace}/962175458
U23亚洲杯 越南U23VS约旦U23 【全场回放】 越南U23vs约旦U23 19:15,${replace}/962175461
NBL 合肥狂风VS张家口体文旅 全场回放（官方解说） 19:20,${replace}/962175580
NBL 合肥狂风VS张家口体文旅 全场回放（原声） 19:20,${replace}/962175176
NBL 石家庄翔蓝VS盐南苏科雄狮 全场回放（官方解说） 19:20,${replace}/962175033
NBL 石家庄翔蓝VS盐南苏科雄狮 全场回放（原声） 19:20,${replace}/962175311
浙江省城市篮球联赛 苍南81-70长兴 25/26赛季浙江省城市篮球联赛: 苍南VS长兴 19:30,${replace}/961995047
CBA 南京天之蓝VS辽宁本钢 王岚嵚赛季新高21分 郭昊文空砍23+8 辽宁战胜南京 19:35,${replace}/962174680
意甲 比萨VS科莫 全场回放（刘焕） 21:45,${replace}/962175788
U23亚洲杯 沙特阿拉伯U23VS吉尔吉斯斯坦U23 【全场回放】 沙特阿拉伯U23vs吉尔吉斯斯坦U23 23:45,${replace}/962176256
U23亚洲杯 沙特阿拉伯U23VS吉尔吉斯斯坦U23 全场回放（张天翼） 23:45,${replace}/962176195
意甲 莱切VS罗马 全场回放（梁祥宇） 00:45,${replace}/962176231
斯诺克 贺国强3-5高阳 米尔金斯晋级 2026斯诺克德国大师赛资格赛第二轮回放：扎克·舒尔第5-3尤利安·博伊科 03:00,${replace}/962178814
斯诺克 贺国强3-5高阳 米尔金斯晋级 2026斯诺克德国大师赛资格赛第二轮回放：安东尼·麦克吉尔5-1米哈乌·苏巴尔奇克 03:00,${replace}/962178425
斯诺克 贺国强3-5高阳 米尔金斯晋级 2026斯诺克德国大师赛资格赛第二轮回放：马修·塞尔特2-5朱利安·勒克莱 03:00,${replace}/962177408
斯诺克 贺国强3-5高阳 米尔金斯晋级 2026斯诺克德国大师赛资格赛第二轮回放：贺国强3-5高阳 03:00,${replace}/962177248
斯诺克 贺国强3-5高阳 米尔金斯晋级 2026斯诺克德国大师赛资格赛第二轮回放：奥利弗·莱恩斯5-2罗比·麦圭根 03:00,${replace}/962177154
斯诺克 贺国强3-5高阳 米尔金斯晋级 2026斯诺克德国大师赛资格赛第二轮回放：马克·戴维斯5-2利亚姆·格雷姆 03:00,${replace}/962177134
斯诺克 贺国强3-5高阳 米尔金斯晋级 【回放】罗伯特·米尔金斯5-2迪伦·埃莫里 03:00,${replace}/962176534
斯诺克 贺国强3-5高阳 米尔金斯晋级 【回放】马修·史蒂文斯5-1马哈茂德·埃尔·哈雷迪 03:00,${replace}/962176463
意甲 萨索洛VS尤文图斯 全场回放 （吴桐、刘腾） 03:30,${replace}/962176447
英超 西汉姆联VS诺丁汉森林 全场回放（郭灿亮） 03:45,${replace}/962176507
NBA 步行者VS骑士 全场回放 (董倡硕) 07:55,${replace}/962178981
NBA 步行者VS骑士 全场回放（英文原声） 07:55,${replace}/962180228
NBA 奇才VS魔术 全场回放（张泽欣） 07:55,${replace}/962178941
NBA 灰熊VS马刺 全场回放（罗森） 08:55,${replace}/962180120
NBA 灰熊VS马刺 全场回放（英文原声） 08:55,${replace}/962180642
NBA 森林狼VS热火 全场回放 (邢晨) 08:55,${replace}/962180095
NBA 森林狼VS热火 全场回放（英文原声） 08:55,${replace}/962180922
NBA 鹈鹕VS湖人 全场回放（姜帆、马健、闫宇峰、佳依） 08:55,${replace}/962180241
NBA 鹈鹕VS湖人 全场回放（郑泽鹏） 08:55,${replace}/962180309
WTA 米拉·安德列娃迎战盖德基 阿尼西莫娃出战 赛场原声 09:00,${replace}/962140619
WTA 米拉·安德列娃迎战盖德基 阿尼西莫娃出战 英文原声 09:00,${replace}/962140729
BWF 稍后高昉洁、蒋振邦/魏雅欣登场 陆光祖、凡贤晋级 2号场 09:00,${replace}/962141078
BWF 稍后高昉洁、蒋振邦/魏雅欣登场 陆光祖、凡贤晋级 1号场 09:00,${replace}/962141036
BWF 稍后高昉洁、蒋振邦/魏雅欣登场 陆光祖、凡贤晋级 3号场 09:10,${replace}/962141102
NBA 国王VS独行侠 全场回放（邵化谦、季孟年） 11:55,${replace}/962182886
WTT 林诗栋冲击开门红 王艺迪PK郑怡静 侯英超 周泽昊 15:15,${replace}/961997851
WTT 林诗栋冲击开门红 王艺迪PK郑怡静 赛场原声 15:30,${replace}/961997796
WTT 林诗栋冲击开门红 王艺迪PK郑怡静 智能字幕 15:30,${replace}/962162374
WTT 林诗栋冲击开门红 王艺迪PK郑怡静 AI轨迹实时追踪 15:30,${replace}/962161976
网球联合杯 美国队晋级四强 本西奇率瑞士出战 珀斯赛区清流 09:30,${replace}/962175420
网球联合杯 美国队晋级四强 本西奇率瑞士出战 珀斯赛区英文解说 09:30,${replace}/962175431
斯诺克 穆迪PK常冰玉 傅家俊出战 5号桌 18:00,${replace}/962129935
斯诺克 穆迪PK常冰玉 傅家俊出战 1号桌 18:00,${replace}/962129244
斯诺克 穆迪PK常冰玉 傅家俊出战 2号桌 18:00,${replace}/962129256
斯诺克 穆迪PK常冰玉 傅家俊出战 3号桌 18:00,${replace}/962129733
斯诺克 穆迪PK常冰玉 傅家俊出战 4号桌 18:00,${replace}/962130349
斯诺克 穆迪PK常冰玉 傅家俊出战 6号桌 18:00,${replace}/962129514
斯诺克 穆迪PK常冰玉 傅家俊出战 7号桌 18:00,${replace}/962129600
斯诺克 穆迪PK常冰玉 傅家俊出战 8号桌 18:00,${replace}/962129416
NBL 安徽皖江龙VS焦作文旅 解说 18:50,${replace}/962152196
NBL 安徽皖江龙VS焦作文旅 现场原声 18:50,${replace}/962152206
NBL 山东蜜獾VS贵州猛龙 解说 18:50,${replace}/962152152
NBL 山东蜜獾VS贵州猛龙 现场原声 18:50,${replace}/962152172
WCBA 山西竹叶青酒VS山东赤水河酒 清流播出 19:25,${replace}/962054302
WCBA 福建金篮VS厦门环东文旅 清流播出 19:25,${replace}/962054322
U23亚洲杯 韩国U23VS伊朗U23 涂远 19:15,${replace}/962094344
U23亚洲杯 韩国U23VS伊朗U23 赛场原声 19:15,${replace}/962094353
U23亚洲杯 日本U23VS叙利亚U23 刘畅 19:15,${replace}/962094336
U23亚洲杯 日本U23VS叙利亚U23 赛场原声 19:15,${replace}/962094340
NBL 上海玄鸟VS长沙勇胜 解说 19:20,${replace}/962152214
NBL 上海玄鸟VS长沙勇胜 现场原声 19:20,${replace}/962152220
浙江省城市篮球联赛 宁波VS富阳 25/26赛季浙江省城市篮球联赛: 宁波VS富阳 19:30,${replace}/961995113
CBA 广东东阳光VS深圳马可波罗 图文直播 19:35,${replace}/961995363
CBA 青岛崂山啤酒VS上海久事 图文直播 19:35,${replace}/961995382
WCBA 新疆天山VS四川蜀道远达 解说 19:55,${replace}/962054259
NBL 香港金牛VS江西鲸裕清酒 解说 19:50,${replace}/962152179
NBL 香港金牛VS江西鲸裕清酒 现场原声 19:50,${replace}/962152191
东亚超级联赛 香港东方VS首尔SK骑士 清流播出1 20:05,${replace}/961478553
U23亚洲杯 乌兹别克斯坦U23VS黎巴嫩U23 吴桐 21:45,${replace}/962094319
U23亚洲杯 乌兹别克斯坦U23VS黎巴嫩U23 赛场原声 21:45,${replace}/962094313
WTT 蒯曼率先登场争首胜 大布接台登场 周冠达 22:30,${replace}/961998048
WTT 蒯曼率先登场争首胜 大布接台登场 赛场原声 22:30,${replace}/961998016
WTT 蒯曼率先登场争首胜 大布接台登场 英文解说 22:30,${replace}/961998039
WTT 蒯曼率先登场争首胜 大布接台登场 AI轨迹实时追踪 22:30,${replace}/962161997
U23亚洲杯 卡塔尔U23VS阿联酋U23 鲁靖明 00:15,${replace}/962094196
U23亚洲杯 卡塔尔U23VS阿联酋U23 赛场原声 00:15,${replace}/962094193
意甲 那不勒斯VS维罗纳 石庆圣 01:15,${replace}/962108349
意甲 那不勒斯VS维罗纳 赛场原声 01:15,${replace}/962108353
意甲 博洛尼亚VS亚特兰大 涂远 01:15,${replace}/962108342
意甲 博洛尼亚VS亚特兰大 赛场原声 01:15,${replace}/962108344
斯诺克 徐思、龙泽煌、吕昊天出战 1号桌 03:00,${replace}/962129268
斯诺克 徐思、龙泽煌、吕昊天出战 2号桌 03:00,${replace}/962129278
斯诺克 徐思、龙泽煌、吕昊天出战 3号桌 03:00,${replace}/962129585
斯诺克 徐思、龙泽煌、吕昊天出战 4号桌 03:00,${replace}/962130253
斯诺克 徐思、龙泽煌、吕昊天出战 5号桌 03:00,${replace}/962130439
斯诺克 徐思、龙泽煌、吕昊天出战 6号桌 03:00,${replace}/962129500
斯诺克 徐思、龙泽煌、吕昊天出战 7号桌 03:00,${replace}/962129557
斯诺克 徐思、龙泽煌、吕昊天出战 8号桌 03:00,${replace}/962129371
英超 曼城VS布莱顿 苏东 徐阳 林梦鸽 03:00,${replace}/962099077
英超 曼城VS布莱顿 英文原声 03:15,${replace}/962099125
英超 曼城VS布莱顿 赛场原声 03:15,${replace}/962099157
英超 曼城VS布莱顿 苏东 徐阳 林梦鸽 03:00,${replace}/962099193
英超 富勒姆VS切尔西 刘畅 颜强 程思钦 03:00,${replace}/962099650
英超 富勒姆VS切尔西 英文原声 03:15,${replace}/962099644
英超 富勒姆VS切尔西 赛场原声 03:15,${replace}/962099642
英超 埃弗顿VS狼队 刘焕 03:15,${replace}/962099624
英超 埃弗顿VS狼队 英文原声 03:15,${replace}/962099617
英超 埃弗顿VS狼队 赛场原声 03:15,${replace}/962099607
英超 水晶宫VS阿斯顿维拉 苗锟 03:15,${replace}/962099541
英超 水晶宫VS阿斯顿维拉 英文原声 03:15,${replace}/962099531
英超 水晶宫VS阿斯顿维拉 赛场原声 03:15,${replace}/962099521
英超 水晶宫VS阿斯顿维拉 苗锟 03:15,${replace}/962099563
英超 布伦特福德VS桑德兰 黄航 03:15,${replace}/962099500
英超 布伦特福德VS桑德兰 英文原声 03:15,${replace}/962099488
英超 布伦特福德VS桑德兰 赛场原声 03:15,${replace}/962099482
英超 伯恩茅斯VS托特纳姆热刺 吴桐 李彦 孙蕊 03:00,${replace}/962099472
英超 伯恩茅斯VS托特纳姆热刺 英文原声 03:15,${replace}/962099459
英超 伯恩茅斯VS托特纳姆热刺 赛场原声 03:15,${replace}/962099434
意甲 都灵VS乌迪内斯 谭逸雄 03:30,${replace}/962108373
意甲 都灵VS乌迪内斯 赛场原声 03:30,${replace}/962108386
意甲 帕尔马VS国际米兰 刘腾 贺宇 03:30,${replace}/962108367
意甲 帕尔马VS国际米兰 赛场原声 03:30,${replace}/962108369
意甲 拉齐奥VS佛罗伦萨 鲁靖明 03:30,${replace}/962108360
意甲 拉齐奥VS佛罗伦萨 赛场原声 03:30,${replace}/962108364
英超 纽卡斯尔联VS利兹联 涂远 04:00,${replace}/962099407
英超 纽卡斯尔联VS利兹联 赛场原声 04:00,${replace}/962099395
英超 纽卡斯尔联VS利兹联 英文原声 04:00,${replace}/962099414
英超 伯恩利VS曼联 娄一晨 刘越 姚安妮 03:45,${replace}/962099283
英超 伯恩利VS曼联 4K赛场原声 04:00,${replace}/962099266
英超 伯恩利VS曼联 英文原声 04:00,${replace}/962099292
NBA 活塞VS公牛 吴博文 07:55,${replace}/962111881
NBA 活塞VS公牛 英文原声 07:55,${replace}/962111891
NBA 76人VS奇才 贾磊 07:55,${replace}/962111902
NBA 76人VS奇才 英文原声 07:55,${replace}/962111915
NBA 黄蜂VS猛龙 刘芳宇 07:55,${replace}/962111839
NBA 黄蜂VS猛龙 英文原声 07:55,${replace}/962111860
NBA 凯尔特人VS掘金 蔡凯臣 季孟年 07:55,${replace}/962111920
NBA 凯尔特人VS掘金 英文原声 07:55,${replace}/962111939
WTA WTA奥克兰站第四日 清流 08:00,${replace}/962167342
WTA WTA奥克兰站第四日 英文原声 08:00,${replace}/962167430
广东珠江1080p,https://live.catvod.com/iptv.php?id=gdzj01
NBA 老鹰VS鹈鹕 王凯 08:25,${replace}/962111953
广东珠江1080p,http://iptv.4666888.xyz/iptv2A.php?id=19
NBA 老鹰VS鹈鹕 英文原声 08:25,${replace}/962111988
广东珠江1080p,http://r.jdshipin.com/sE5vO
NBA 尼克斯VS快船 邵化谦 周赫 08:25,${replace}/962112030
支持作者,https://vd3.bdstatic.com/mda-rkaittm5s06vzzyq/sc/cae_h264/1762869883709304452/mda-rkaittm5s06vzzyq.mp4
广东珠江1080p,http://rihou.cc:555/tv/[AtI]广东珠江
NBA 尼克斯VS快船 英文原声 08:25,${replace}/962112049
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
广东珠江576p,http://27.41.245.32:801/hls/25/index.m3u8
NBA 篮网VS魔术 张泽欣 08:25,${replace}/962111998
浙江卫视4K,https://play-qukan.cztv.com:443/live/1758879019692345.m3u8
广东体育1080p,http://27.41.245.32:801/hls/204/index.m3u8
NBA 篮网VS魔术 英文原声 08:25,${replace}/962112017
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k
广东体育1080p,https://live.catvod.com/iptv.php?id=gdty01
NBA 灰熊VS太阳 王冠证 殷文玉 08:55,${replace}/962112059
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
广东体育1080p,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
NBA 灰熊VS太阳 英文原声 08:55,${replace}/962112081
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
广东体育1080p,http://iptv.4666888.xyz/iptv2A.php?id=20
NBA 雷霆VS爵士 罗森 08:55,${replace}/962112090
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
广东体育1080p,http://rihou.cc:555/tv/[AtI]广东体育
NBA 雷霆VS爵士 英文原声 08:55,${replace}/962112101
熊猫直播,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
广东体育720p,http://74.91.26.218:82/live/gdty.m3u8
WTA WTA布里斯班站第五日 赛场原声 09:00,${replace}/962140629
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
广东新闻1080p,http://rihou.cc:555/tv/[AtI]广东新闻
